dimensions,cpu times,gpu times
1,1.3947486877441406e-05,0.0006169557571411132
2,2.4318695068359373e-06,0.000615382194519043
3,2.1219253540039063e-06,0.0004899501800537109
4,2.837181091308594e-06,0.00046105384826660155
5,2.288818359375e-06,0.00047321319580078124
6,2.1219253540039063e-06,0.00046672821044921873
7,3.1232833862304687e-06,0.0004861116409301758
8,2.0265579223632812e-06,0.00045914649963378905
9,2.1457672119140625e-06,0.0004915475845336914
10,2.1696090698242187e-06,0.00045711994171142577
11,2.002716064453125e-06,0.000473475456237793
12,2.193450927734375e-06,0.00046608448028564455
13,2.0742416381835936e-06,0.00047574043273925783
14,2.455711364746094e-06,0.00046837329864501953
15,2.1696090698242187e-06,0.0004626035690307617
16,2.288818359375e-06,0.000465846061706543
17,1.7881393432617188e-06,0.00046219825744628904
18,2.0265579223632812e-06,0.0004723072052001953
19,2.002716064453125e-06,0.00046181678771972656
20,2.09808349609375e-06,0.00045812129974365234
21,1.931190490722656e-06,0.00047192573547363283
22,1.9550323486328123e-06,0.0004601001739501953
23,1.9073486328125e-06,0.0004567146301269531
24,2.09808349609375e-06,0.00047359466552734377
25,1.811981201171875e-06,0.0005359649658203125
26,1.978874206542969e-06,0.0004656791687011719
27,2.0265579223632812e-06,0.00047574043273925783
28,1.71661376953125e-06,0.0004143476486206055
29,1.8596649169921875e-06,0.0004538059234619141
30,2.09808349609375e-06,0.000461268424987793
31,2.2172927856445314e-06,0.00047779083251953125
32,2.002716064453125e-06,0.000469970703125
33,6.175041198730468e-06,0.0004530906677246094
34,2.2172927856445314e-06,0.0005025625228881836
35,2.0742416381835936e-06,0.00046863555908203123
36,2.3365020751953127e-06,0.000476837158203125
37,1.978874206542969e-06,0.0004781484603881836
38,2.408027648925781e-06,0.0004753828048706055
39,2.6464462280273437e-06,0.0004928112030029297
40,2.312660217285156e-06,0.0004766702651977539
41,2.4318695068359373e-06,0.00042979717254638673
42,2.2649765014648438e-06,0.0004724740982055664
43,2.408027648925781e-06,0.0004982233047485351
44,1.811981201171875e-06,0.0004632234573364258
45,1.978874206542969e-06,0.00044317245483398436
46,4.57763671875e-06,0.0004635334014892578
47,2.360343933105469e-06,0.0004909038543701172
48,2.1219253540039063e-06,0.00048058032989501954
49,2.09808349609375e-06,0.00046596527099609377
50,2.193450927734375e-06,0.00048263072967529296
51,2.5272369384765624e-06,0.0004862546920776367
52,2.5033950805664062e-06,0.0004776954650878906
53,2.47955322265625e-06,0.0005041122436523438
54,2.455711364746094e-06,0.0005025148391723632
55,2.193450927734375e-06,0.0005092859268188476
56,2.288818359375e-06,0.000489354133605957
57,2.193450927734375e-06,0.00046224594116210936
58,2.2411346435546876e-06,0.0004695415496826172
59,2.4318695068359373e-06,0.0004999637603759766
60,2.5510787963867186e-06,0.00048320293426513673
61,2.288818359375e-06,0.0004807949066162109
62,2.5510787963867186e-06,0.00048601627349853516
63,2.6702880859375e-06,0.0004984140396118164
64,2.4318695068359373e-06,0.00048439502716064454
65,2.5033950805664062e-06,0.00048527717590332033
66,2.6226043701171875e-06,0.0005065202713012695
67,2.6702880859375e-06,0.0005076169967651367
68,2.6226043701171875e-06,0.0004706382751464844
69,2.5272369384765624e-06,0.0004915714263916016
70,2.5033950805664062e-06,0.0004929065704345703
71,2.5987625122070313e-06,0.00047795772552490235
72,3.24249267578125e-06,0.0005039215087890625
73,2.5272369384765624e-06,0.0005709648132324219
74,2.9087066650390623e-06,0.0004910707473754882
75,2.6941299438476564e-06,0.0004853963851928711
76,3.528594970703125e-06,0.0004990339279174804
77,2.574920654296875e-06,0.0005019903182983398
78,2.384185791015625e-06,0.0004828214645385742
79,3.1232833862304687e-06,0.0004771232604980469
80,3.337860107421875e-06,0.0005016803741455078
81,2.789497375488281e-06,0.0004887819290161133
82,4.458427429199219e-06,0.0005038261413574218
83,2.6226043701171875e-06,0.0004761219024658203
84,2.6702880859375e-06,0.0005155324935913086
85,2.837181091308594e-06,0.0004961490631103516
86,2.5987625122070313e-06,0.00047941207885742186
87,1.5950202941894533e-05,0.0005143404006958008
88,2.6226043701171875e-06,0.0004726409912109375
89,3.4809112548828124e-06,0.0005116462707519531
90,2.7418136596679688e-06,0.0005782604217529297
91,3.0994415283203125e-06,0.0004750967025756836
92,2.6226043701171875e-06,0.0004667520523071289
93,2.6226043701171875e-06,0.00046579837799072267
94,2.932548522949219e-06,0.0004445552825927734
95,2.5987625122070313e-06,0.0005020380020141601
96,2.9087066650390623e-06,0.0004936695098876953
97,3.0040740966796874e-06,0.0004901885986328125
98,2.765655517578125e-06,0.0004971027374267578
99,2.837181091308594e-06,0.0005155086517333984
100,3.5047531127929686e-06,0.00048422813415527344
101,2.9802322387695312e-06,0.0005317926406860352
102,3.2901763916015627e-06,0.000524139404296875
103,2.956390380859375e-06,0.000523519515991211
104,3.1232833862304687e-06,0.0005075454711914063
105,3.0279159545898436e-06,0.00048365592956542967
106,3.266334533691406e-06,0.00047764778137207033
107,3.4570693969726562e-06,0.0005681276321411133
108,3.1232833862304687e-06,0.0004937887191772461
109,3.5524368286132813e-06,0.0005280017852783203
110,3.2186508178710938e-06,0.0005016565322875976
111,3.1948089599609376e-06,0.0004943370819091797
112,3.838539123535157e-06,0.0004900693893432617
113,4.482269287109375e-06,0.000504159927368164
114,3.4570693969726562e-06,0.0004797220230102539
115,3.0755996704101563e-06,0.00047194957733154297
116,3.147125244140625e-06,0.0004701375961303711
117,3.2901763916015627e-06,0.0004830360412597656
118,3.4809112548828124e-06,0.0004892349243164062
119,4.172325134277344e-06,0.0005051136016845703
